sample,O. herbaceous,O.vegetable,O. woody,O. cereal,O. floral,O. fruity,Sour,Sweet,Salty,Bitter,Astringent,Body,A. herbaceous,A.vegetable,A. woody,A. cereal,A. floral,A. fruity
H-L-CR,4,4,0,3,1,4,0,2,5,1,0,1,5,4,4,3,5,5
H-L-GE,1,2,4,0,1,0,2,2,1,0,3,0,2,4,4,3,5,5
H-MA,4,3,2,2,2,1,4,4,0,1,5,2,1,4,2,1,4,5
H-M-EC,5,4,1,4,0,1,2,2,2,2,1,1,5,4,2,4,1,4
H-M-H1,4,4,0,1,2,0,4,2,1,1,3,2,3,0,5,0,1,5
H-M-MAR,0,1,4,5,3,2,2,1,2,3,5,5,1,1,5,1,0,1
H-M-T5,2,0,4,5,4,4,5,2,3,3,2,2,5,0,5,3,4,5
H-N-GE-S,1,3,0,3,5,2,3,4,1,5,3,1,0,4,2,3,2,4
H-N-GE-WS,4,5,3,4,1,5,2,2,2,2,4,5,0,2,2,3,0,3
H-N-H1-S,2,2,3,3,1,3,5,4,3,2,1,4,3,0,2,0,0,0
H-N-H1-WS,4,5,3,1,5,2,0,1,3,3,3,3,3,4,2,1,5,0
H-N-MAR-S,5,5,4,2,2,4,3,1,3,2,3,3,4,5,4,0,4,0
H-N-MAR-WS,1,4,2,4,1,3,1,2,5,0,4,1,2,2,5,4,1,2
H-WI,5,1,2,3,5,2,4,3,0,4,1,4,3,0,3,3,5,5
C-L-CR,5,3,4,2,1,2,2,1,2,4,1,1,5,3,4,4,3,2
C-L-GE,0,3,2,2,2,1,0,4,5,2,2,4,5,0,5,3,5,3
C-MA,0,3,2,4,3,4,0,2,0,1,5,1,0,0,4,2,3,3
C-M-EC,4,0,0,1,2,4,1,1,4,3,4,5,2,2,5,2,0,1
C-M-H1,4,4,0,0,1,4,0,3,3,0,2,1,1,3,4,2,3,1
C-M-MAR,3,5,0,2,1,4,5,1,3,4,0,5,4,3,0,0,5,0
C-M-T5,2,0,4,5,4,4,5,2,3,3,2,2,5,0,5,3,4,5
C-N-GE-S,1,3,0,3,5,2,3,4,1,5,3,1,0,4,2,3,2,4
C-N-GE-WS,4,5,3,4,1,5,2,2,2,2,4,5,0,2,2,3,0,3
C-N-H1-S,2,2,3,3,1,3,5,4,3,2,1,4,3,0,2,0,0,0
C-N-H1-WS,4,5,3,1,5,2,0,1,3,3,3,3,3,4,2,1,5,0
C-N-MAR-S,5,1,2,3,5,2,4,3,0,4,1,4,3,0,3,3,5,5
C-N-MAR-WS,5,3,4,2,1,2,2,1,2,4,1,1,5,3,4,4,3,2
C-WI,0,3,2,4,3,4,0,2,0,1,5,1,0,0,4,2,3,3
