sample,O. herbaceous,O.vegetable,O. woody,O. cereal,O. floral,O. fruity,Sour,Sweet,Salty,Bitter,Astringent,Body,A. herbaceous,A.vegetable,A. woody,A. cereal,A. floral,A. fruity
H-L-CR,0,1,0,0,3,0,1,0,0,2,3,2,0,2,0,1,2,0
H-L-GE,2,5,0,0,0,0,0,2,1,0,2,2,1,4,0,0,1,0
H-MA,1,4,0,0,0,0,0,2,2,1,1,1,1,5,1,0,0,0
H-M-EC,4,1,0,0,1,1,0,1,1,0,2,2,2,1,0,0,1,2
H-M-H1,1,2,0,1,0,0,0,1,1,1,2,1,1,1,0,1,0,0
H-M-MAR,0,4,0,0,0,0,0,1,0,2,3,2,0,4,0,0,0,0
H-M-T5,1,3,0,0,2,0,0,1,0,1,2,1,1,3,0,0,1,0
H-N-GE-S,1,4,0,0,1,0,0,1,2,3,2,1,1,4,0,0,2,0
H-N-GE-WS,3,0,0,4,0,0,0,1,0,2,3,3,2,0,0,4,0,0
H-N-H1-S,0,1,0,0,0,0,0,1,1,0,3,1,0,1,0,0,0,0
H-N-H1-WS,1,3,0,0,0,0,0,1,2,1,2,1,0,3,0,0,0,0
H-N-MAR-S,2,2,0,0,0,0,0,0,0,3,3,2,2,2,0,1,0,0
H-N-MAR-WS,2,2,0,0,2,0,0,1,0,1,4,2,2,0,0,2,1,0
H-WI,4,2,1,0,0,0,1,1,0,3,5,3,5,1,2,0,1,0
C-L-CR,0,0,0,0,0,0,1,0,2,0,3,1,0,0,0,0,0,0
C-L-GE,2,1,0,0,0,0,0,2,2,1,2,1,4,1,0,0,0,0
C-MA,0,3,0,0,0,0,1,1,2,1,1,2,1,4,0,0,0,0
C-M-EC,0,4,0,0,0,0,0,2,0,0,3,1,0,4,0,0,0,2
C-M-H1,1,1,0,1,0,0,2,0,1,0,1,1,1,1,0,0,0,0
C-M-MAR,1,0,0,0,0,0,0,1,2,0,2,1,2,0,0,0,0,0
C-M-T5,2,0,0,2,0,0,1,2,1,0,2,2,2,0,0,2,0,0
C-N-GE-S,1,1,0,2,0,0,2,0,3,0,1,2,1,2,0,1,0,0
C-N-GE-WS,1,0,0,2,0,0,0,1,0,2,1,2,1,0,0,3,0,0
C-N-H1-S,2,0,0,0,1,0,2,1,3,0,2,1,2,0,0,0,0,0
C-N-H1-WS,1,2,0,0,0,0,1,0,2,0,3,2,1,2,0,0,0,0
C-N-MAR-S,1,0,0,0,0,0,0,0,0,2,3,2,3,0,0,1,0,0
C-N-MAR-WS,2,0,0,0,1,0,0,1,0,1,1,2,2,0,0,1,1,0
C-WI,1,0,0,0,2,0,1,1,0,1,4,1,0,0,0,0,4,0
