filename	ATTRIBUTE_Sample_type	ATTRIBUTE_Sample	ATTRIBUTE_Group	ATTRIBUTE_Origin	ATTRIBUTE_Extraction	ATTRIBUTE_Genetic_Lineage	ATTRIBUTE_Variety
150125_C_MA_1_NS.raw	H_Exp	H-MA_1	H-MA	Sri_Lanka	Hot		
150125_C_MA_2_NS.raw	H_Exp	H-MA_2	H-MA	Sri_Lanka	Hot		
150125_C_MA_3_NS.raw	H_Exp	H-MA_3	H-MA	Sri_Lanka	Hot		
150125_C_MEC_1_NS.raw	H_Exp	H-M-EC_1	H-M-EC	Mexico	Hot	Introgressed	EC17
150125_C_MEC_2_NS.raw	H_Exp	H-M-EC_2	H-M-EC	Mexico	Hot	Introgressed	EC17
150125_C_MEC_3_NS.raw	H_Exp	H-M-EC_3	H-M-EC	Mexico	Hot	Introgressed	EC17
150125_C_MT5_1_NS.raw	H_Exp	H-M-T5_1	H-M-T5	Mexico	Hot	F1_Hybrid	T5175
150125_C_MT5_2_NS.raw	H_Exp	H-M-T5_2	H-M-T5	Mexico	Hot	F1_Hybrid	T5176
150125_C_MT5_3_NS.raw	H_Exp	H-M-T5_3	H-M-T5	Mexico	Hot	F1_Hybrid	T5177
150125_C_NGE_1_NS.raw	H_Exp	H-N-GE-WS_1	H-N-GE-WS	Nicaragua	Hot	Ethiopian_Landrace	Geisha
150125_C_NGE_2_NS.raw	H_Exp	H-N-GE-WS_2	H-N-GE-WS	Nicaragua	Hot	Ethiopian_Landrace	Geisha
150125_C_NGE_3_NS.raw	H_Exp	H-N-GE-WS_3	H-N-GE-WS	Nicaragua	Hot	Ethiopian_Landrace	Geisha
150125_C_WI_1_NS.raw	H_Comm	H-WI_1	H-WI	Nicaragua	Hot		
150125_C_WI_2_NS.raw	H_Comm	H-WI_2	H-WI	Nicaragua	Hot		
150125_C_WI_3_NS.raw	H_Comm	H-WI_3	H-WI	Nicaragua	Hot		
150125_F_MA_1_NS.raw	C_Exp	C-MA_1	C-MA	Sri_Lanka	Cold		
150125_F_MA_2_NS.raw	C_Exp	C-MA_2	C-MA	Sri_Lanka	Cold		
150125_F_MA_3_NS.raw	C_Exp	C-MA_3	C-MA	Sri_Lanka	Cold		
150125_F_MEC_1_NS.raw	C_Exp	C-M-EC_1	C-M-EC	Mexico	Cold	Introgressed	EC17
150125_F_MEC_2_NS.raw	C_Exp	C-M-EC_2	C-M-EC	Mexico	Cold	Introgressed	EC17
150125_F_MEC_3_NS.raw	C_Exp	C-M-EC_3	C-M-EC	Mexico	Cold	Introgressed	EC17
150125_F_MT5_1_NS.raw	C_Exp	C-M-T5_1	C-M-T5	Mexico	Cold	F1_Hybrid	T5175
150125_F_MT5_2_NS.raw	C_Exp	C-M-T5_2	C-M-T5	Mexico	Cold	F1_Hybrid	T5176
150125_F_MT5_3_NS.raw	C_Exp	C-M-T5_3	C-M-T5	Mexico	Cold	F1_Hybrid	T5177
150125_F_NGE_1_NS.raw	C_Exp	C-N-GE-WS_1	C-N-GE-WS	Nicaragua	Cold	Ethiopian_Landrace	Geisha
150125_F_NGE_2_NS.raw	C_Exp	C-N-GE-WS_2	C-N-GE-WS	Nicaragua	Cold	Ethiopian_Landrace	Geisha
150125_F_NGE_3_NS.raw	C_Exp	C-N-GE-WS_3	C-N-GE-WS	Nicaragua	Cold	Ethiopian_Landrace	Geisha
150125_F_WI_1_NS.raw	C_Comm	C-WI_1	C-WI	Nicaragua	Cold		
150125_F_WI_2_NS.raw	C_Comm	C-WI_2	C-WI	Nicaragua	Cold		
150125_F_WI_3_NS.raw	C_Comm	C-WI_3	C-WI	Nicaragua	Cold		
