feat_ID,RT,Compound,H-MA_1,H-MA_2,H-MA_3,H-M-EC_1,H-M-EC_2,H-M-EC_3,H-M-T5_1,H-M-T5_2,H-M-T5_3,H-N-GE-WS_1,H-N-GE-WS_2,H-N-GE-WS_3,H-WI_1,H-WI_2,H-WI_3,C-MA_1,C-MA_2,C-MA_3,C-M-EC_1,C-M-EC_2,C-M-EC_3,C-M-T5_1,C-M-T5_2,C-M-T5_3,C-N-GE-WS_1,C-N-GE-WS_2,C-N-GE-WS_3,C-WI_1,C-WI_2,C-WI_3,Odour,Key Odorant,LRI Exp,LRI Teo,Delta_LRI,CAS_ID,InChIKey,SMILES,class_results,superclass_results,pathway_results,isglycoside
1,41.58,Mock_Compound_1,82520222.36,0.0,630605.3652,0.0,0.0,0.0,94142423.16,1727684.677,68889546.02,0.0,0.0,73220663.61,1444469.005,0.0,713073.9726,654132.9059,131838810.9,1884990.997,0.0,0.0,55228595.6,0.0,907616.3006,0.0,0.0,795384.1385,0.0,761620.2326,0.0,0.0,fermented,,940,931,9,61-53-5,YWMINAUOY4V0W6-XRLW7E7E76-K,,,,,
2,12.58,Mock_Compound_2,711629.2059,94294009.74,1021258.18,0.0,1674218.982,46175930.05,0.0,56349534.23,0.0,1966616.852,0.0,37131002.61,87972692.24,0.0,0.0,81629560.22,1188056.75,0.0,0.0,1670265.254,55854766.11,0.0,1564993.47,93178137.11,0.0,699739.8858,60112316.15,72793288.68,0.0,0.0,cocoa,X,983,986,3,184-88-5,BK07NDPCMV3P84-ZMMH1EHN6V-V,,,,,
3,9.51,Mock_Compound_3,1899583.317,0.0,1252644.585,0.0,0.0,0.0,616209.6539,82554373.16,724711.2397,1193728.451,32884336.8,30855323.01,92915923.78,30858591.53,0.0,0.0,0.0,0.0,0.0,1178677.123,900290.8946,1763818.335,0.0,0.0,75766003.69,88820213.86,41429572.11,187695354.5,737673.6144,1483467.134,waxy,X,2346,2351,5,108-41-8,7B153N4QY7N3NV-ONYOO0SJN8-Q,,,,,
4,30.26,Mock_Compound_4,96994118.22,1837630.213,70709468.36,1082833.168,0.0,51637219.41,49667491.13,54859590.08,0.0,0.0,105065955.6,0.0,0.0,1012160.739,0.0,57568078.54,0.0,0.0,0.0,815461.3465,652709.39,0.0,1085726.825,0.0,1804962.285,175217325.2,0.0,0.0,0.0,1301878.942,waxy,,1354,1355,1,154-40-2,ULUS3G6BDXEQU1-LMOFV474KV-2,,,,,
5,44.9,Mock_Compound_5,0.0,726398.3026,754987.0989,0.0,0.0,95766020.5,135950943.2,0.0,1629909.468,0.0,26848546.43,1206954.475,0.0,55206300.5,0.0,0.0,1473871.305,0.0,0.0,1815582.735,0.0,1753327.282,0.0,1384288.939,0.0,0.0,800927.9059,0.0,0.0,1668685.036,fermented,,1501,1500,1,124-82-0,2J12BS8OIH9KX8-FYL0SO9TAZ-Y,,,,,
6,18.24,Mock_Compound_6,0.0,0.0,36598753.06,1286118.387,85156372.9,0.0,0.0,62459947.81,989776.3763,0.0,1961985.451,135029863.7,97942936.31,0.0,1334564.848,0.0,72280337.18,0.0,1677154.092,31102015.15,0.0,61612331.43,500508.5868,157955890.6,108386462.8,1054490.742,0.0,0.0,74249489.53,88793329.63,fermented,,2336,2344,8,162-52-2,8S5J6W98CRVZ8P-7NALLERC9Q-R,,,,,
7,23.47,Mock_Compound_7,53356406.16,52465009.89,95261712.24,0.0,0.0,0.0,0.0,0.0,0.0,1655884.882,1777182.241,37122733.33,78599311.87,0.0,0.0,0.0,54077026.6,1544908.783,0.0,1446355.796,54860119.72,717598.1735,0.0,0.0,0.0,1192261.716,1837087.672,532322.9246,1185034.185,1156722.585,floral,,1681,1682,1,103-38-0,OAKGZT631LHCMW-6B9H2N4UX7-L,,,,,
8,37.13,Mock_Compound_8,0.0,0.0,1008952.592,0.0,0.0,0.0,1927146.622,98714321.29,0.0,790896.4442,29733162.86,0.0,1848444.751,115797048.7,34225182.78,778871.2595,0.0,95364900.67,973821.3424,52465850.2,0.0,0.0,791772.4017,57729033.49,45567026.19,63834317.7,0.0,652427.3415,94200568.57,77072669.75,chemical,X,1231,1234,3,67-62-1,3AHY9SG9XWF9YT-KRPLLXFI50-P,,,,,
9,44.95,Mock_Compound_9,48795608.21,55536714.84,1511206.233,0.0,1512341.344,0.0,1954672.413,1433567.264,68319231.15,723131.1678,0.0,0.0,1373615.161,67628102.36,0.0,1041004.909,0.0,74554409.18,525690.4696,0.0,0.0,514971.5942,148321145.9,0.0,0.0,0.0,0.0,0.0,1158321.89,855436.6698,cocoa,,1856,1865,9,139-12-7,QI3Y6Q7LZ3SWDG-OX7F5EQEUK-0,,,,,
10,29.57,Mock_Compound_10,0.0,48847133.1,153279519.1,0.0,1257244.958,29896757.84,1625983.78,1262158.454,0.0,602362.6708,67175413.74,1581494.362,1541501.209,1549532.126,0.0,102002763.5,1786446.125,70182811.24,30598748.55,0.0,0.0,33589126.66,0.0,1072084.775,0.0,0.0,825522.391,949224.1287,885574.7145,89201693.04,cocoa,,2115,2113,2,153-63-0,8BBLH4RR26CTFK-Y3Y9TQUAHH-K,,,,,
