Samples,Mock_Compound_2,Mock_Compound_3,Mock_Compound_8,Mock_Compound_14,Mock_Compound_20,Mock_Compound_22,Mock_Compound_25,Mock_Compound_26,Mock_Compound_29,Mock_Compound_31,Mock_Compound_33,Mock_Compound_34,Mock_Compound_35,Mock_Compound_38,Mock_Compound_39,Mock_Compound_40,Mock_Compound_42,Mock_Compound_48,Mock_Compound_50
H-MA_1,711629.2059,1899583.317,0.0,727479.6847,0.0,1396731.184,98118508.39,0.0,30094342.64,0.0,1532791.411,165891426.0,0.0,46316747.79,1820145.94,0.0,1106741.858,45881639.0,71180460.17
H-MA_2,94294009.74,0.0,0.0,0.0,0.0,0.0,0.0,1497261.768,0.0,773456.954,28528156.84,0.0,35732731.28,1374348.634,112114785.8,0.0,64513557.28,89846014.37,80581563.36
H-MA_3,1021258.18,1252644.585,1008952.592,1912502.262,161283703.2,631570.017,45804865.01,896404.6345,0.0,65971211.15,0.0,0.0,63687514.76,32524150.87,1937787.147,0.0,1594670.035,0.0,1949725.985
H-M-EC_1,0.0,0.0,0.0,34541316.96,1452868.636,79551847.6,82245101.07,0.0,752397.6396,893860.7643,49904741.42,0.0,123919430.1,0.0,0.0,1288134.738,63629216.49,0.0,1038362.498
H-M-EC_2,1674218.982,0.0,0.0,819605.2674,1307223.064,681965.1506,1474346.363,1370567.946,953474.9367,67542247.21,0.0,0.0,0.0,1449966.467,125061177.0,0.0,44658509.47,0.0,0.0
H-M-EC_3,46175930.05,0.0,0.0,130077794.9,0.0,33326923.37,56493599.68,0.0,29557151.88,1034133.941,0.0,0.0,87227011.8,1197177.622,195073746.4,755089.9353,59916608.09,67973981.64,1349683.685
H-M-T5_1,0.0,616209.6539,1927146.622,1962325.364,0.0,83245820.51,1471095.893,0.0,95917039.9,60821442.52,95431509.97,71831892.57,0.0,839140.6969,1707784.966,63430475.65,0.0,67331366.29,1837788.74
H-M-T5_2,56349534.23,82554373.16,98714321.29,76105378.83,48360732.01,1266465.075,0.0,28049378.28,185963439.6,26920027.83,1182806.172,1714928.739,0.0,0.0,661531.0726,0.0,49589722.04,60626319.62,35676743.1
H-M-T5_3,0.0,724711.2397,0.0,94828389.62,0.0,815891.0801,1667403.537,1226307.12,74527243.12,0.0,1013654.746,1536503.642,61924583.26,0.0,85687397.37,1186320.782,0.0,1205731.508,86744596.75
H-N-GE-WS_1,1966616.852,1193728.451,790896.4442,991935.9297,27658106.76,896185.13,0.0,0.0,675111.4204,91390420.46,526126.5507,0.0,1140103.607,0.0,88793646.74,0.0,0.0,0.0,88980665.33
H-N-GE-WS_2,0.0,32884336.8,29733162.86,0.0,0.0,0.0,1255446.441,108824838.2,0.0,1940078.712,0.0,0.0,0.0,992510.8156,1183177.437,32896348.48,60563033.83,0.0,0.0
H-N-GE-WS_3,37131002.61,30855323.01,0.0,99235010.04,701031.6474,78661737.67,1045325.708,0.0,0.0,31545302.3,0.0,137237776.6,61333953.24,0.0,0.0,1739673.264,0.0,47900232.82,0.0
H-WI_1,87972692.24,92915923.78,1848444.751,148718734.3,0.0,0.0,1029295.782,973902.858,39320686.61,60308746.75,96398519.07,1993306.694,0.0,59401703.68,1227448.068,73502923.36,984009.8998,610899.0998,59908135.92
