sample,O. herbaceous,O.vegetable,O. woody,O. cereal,O. floral,O. fruity,Sour,Sweet,Salty,Bitter,Astringent,Body,A. herbaceous,A.vegetable,A. woody,A. cereal,A. floral,A. fruity
C-L-CR,6,4,5,3,2,3,3,2,3,5,2,2,6,4,5,5,4,3
C-L-GE,1,4,3,3,3,2,1,5,6,3,3,5,6,1,6,4,6,4
C-MA,1,4,3,5,4,5,1,3,1,2,6,2,1,1,5,3,4,4
C-M-EC,5,1,1,2,3,5,2,2,5,4,5,6,3,3,6,3,1,2
C-M-H1,5,5,1,1,2,5,1,4,4,1,3,2,2,4,5,3,4,2
C-M-MAR,4,6,1,3,2,5,6,2,4,5,1,6,5,4,1,1,6,1
C-M-T5,3,1,5,6,5,5,6,3,4,4,3,3,6,1,6,4,5,6
C-N-GE-S,2,4,1,4,6,3,4,5,2,6,4,2,1,5,3,4,3,5
C-N-GE-WS,5,6,4,5,2,6,3,3,3,3,5,6,1,3,3,4,1,4
C-N-H1-S,3,3,4,4,2,4,6,5,4,3,2,5,4,1,3,1,1,1
C-N-H1-WS,5,6,4,2,6,3,1,2,4,4,4,4,4,5,3,2,6,1
C-N-MAR-S,6,2,3,4,6,3,5,4,1,5,2,5,4,1,4,4,6,6
C-N-MAR-WS,6,4,5,3,2,3,3,2,3,5,2,2,6,4,5,5,4,3
C-WI,1,4,3,5,4,5,1,3,1,2,6,2,1,1,5,3,4,4
