sample,O. herbaceous,O.vegetable,O. woody,O. cereal,O. floral,O. fruity,Sour,Sweet,Salty,Bitter,Astringent,Body,A. herbaceous,A.vegetable,A. woody,A. cereal,A. floral,A. fruity
H-L-CR,5,5,1,4,2,5,1,3,6,2,1,2,6,5,5,4,6,6
H-L-GE,2,3,5,1,2,1,3,3,2,1,4,1,3,5,5,4,6,6
H-MA,5,4,3,3,3,2,5,5,1,2,6,3,2,5,3,2,5,6
H-M-EC,6,5,2,5,1,2,3,3,3,3,2,2,6,5,3,5,2,5
H-M-H1,5,5,1,2,3,1,5,3,2,2,4,3,4,1,6,1,2,6
H-M-MAR,1,2,5,6,4,3,3,2,3,4,6,6,2,2,6,2,1,2
H-M-T5,3,1,5,6,5,5,6,3,4,4,3,3,6,1,6,4,5,6
H-N-GE-S,2,4,1,4,6,3,4,5,2,6,4,2,1,5,3,4,3,5
H-N-GE-WS,5,6,4,5,2,6,3,3,3,3,5,6,1,3,3,4,1,4
H-N-H1-S,3,3,4,4,2,4,6,5,4,3,2,5,4,1,3,1,1,1
H-N-H1-WS,5,6,4,2,6,3,1,2,4,4,4,4,4,5,3,2,6,1
H-N-MAR-S,6,6,5,3,3,5,4,2,4,3,4,4,5,6,5,1,5,1
H-N-MAR-WS,2,5,3,5,2,4,2,3,6,1,5,2,3,3,6,5,2,3
H-WI,6,2,3,4,6,3,5,4,1,5,2,5,4,1,4,4,6,6
