Compounds,H-MA_1,H-MA_2,H-MA_3,H-M-EC_1,H-M-EC_2,H-M-EC_3,H-M-T5_1,H-M-T5_2,H-M-T5_3,H-N-GE-WS_1,H-N-GE-WS_2,H-N-GE-WS_3,H-WI_1,H-WI_2,H-WI_3
2-methyl-butanal,0.491289245,0.472287942,0.203102816,-0.72796103,-0.72796103,-0.72796103,-0.72796103,-0.72796103,-0.72796103,1.941722039,1.837214872,1.606032353,-0.72796103,-0.72796103,-0.72796103
Pentanal,-0.553443657,-0.553443657,-0.553443657,-0.553443657,-0.553443657,-0.553443657,-0.553443657,-0.553443657,-0.553443657,-0.315771603,-0.308104762,-0.355639173,1.976613698,2.191285231,1.792609527
"2,3-Pentanedione",-0.499487125,-0.499487125,-0.499487125,-0.499487125,-0.499487125,-0.499487125,-0.499487125,-0.499487125,-0.499487125,2.137470045,1.900283421,1.956092039,-0.499487125,-0.499487125,-0.499487125
Hexanal,0.778142466,0.726501555,0.171361758,-1.248763305,-1.248763305,-1.248763305,-0.583886571,-0.493514976,-0.565812252,-0.343756333,-0.373449857,-0.408307473,1.514025454,1.733499327,1.591486821
Ethylbenzene,-1.146013203,-1.146013203,-1.146013203,0.834682546,1.424606903,1.549842242,0.68637754,0.979691885,0.515002866,0.337036858,0.399654528,0.149183851,-1.146013203,-1.146013203,-1.146013203
"3-Penten-2-one, 4-methyl-",2.950107107,1.5983333,1.059142624,-0.467298586,-0.467298586,-0.467298586,-0.467298586,-0.467298586,-0.467298586,-0.467298586,-0.467298586,-0.467298586,-0.467298586,-0.467298586,-0.467298586
1-Penten-3-ol,0.452324394,0.276398744,3.624850284,-0.362797785,-0.362797785,-0.362797785,-0.362797785,-0.362797785,-0.362797785,-0.362797785,-0.362797785,-0.362797785,-0.362797785,-0.362797785,-0.362797785
"Oxazole, trimethyl-",-0.496312493,-0.496312493,-0.496312493,-0.496312493,-0.496312493,-0.496312493,-0.496312493,-0.496312493,-0.496312493,1.812601453,1.775159606,2.367988862,-0.496312493,-0.496312493,-0.496312493
"2-Hexenal, (E)-",1.123237705,1.031015056,-0.313898571,-0.736585711,-0.736585711,-0.736585711,-0.736585711,-0.736585711,-0.736585711,-0.736585711,-0.736585711,-0.736585711,1.415276093,1.691944039,1.681697078
"1,3,5,7-Cyclooctatetraene",-0.499144637,-0.499144637,-0.499144637,-0.499144637,-0.499144637,-0.499144637,-0.499144637,-0.499144637,-0.499144637,1.833322045,2.003044152,2.153369448,-0.499144637,-0.499144637,-0.499144637
"1H-Pyrrole, 1-butyl-",-0.497131774,-0.497131774,-0.497131774,-0.497131774,-0.497131774,-0.497131774,-0.497131774,-0.497131774,-0.497131774,2.325915694,1.84048924,1.79917635,-0.497131774,-0.497131774,-0.497131774
Octanal,-0.797452441,-0.797452441,-0.797452441,1.270435367,0.800680993,0.713510079,-0.797452441,-0.797452441,-0.797452441,1.357606281,1.338234967,1.696604282,-0.797452441,-0.797452441,-0.797452441
"Cyclohexanone, 2,2,6-trimethyl-",0.967245257,0.688713785,-0.831199243,-0.967143044,-0.967143044,-0.967143044,-0.967143044,-0.967143044,-0.967143044,0.001328774,0.256862235,0.085654816,1.355656118,1.664851606,1.613744914
"2-Heptenal, (Z)-",-0.419152933,-0.419152933,-0.419152933,3.397219172,0.721666074,0.910949946,-0.419152933,-0.419152933,-0.419152933,-0.419152933,-0.419152933,-0.419152933,-0.419152933,-0.419152933,-0.419152933
"Pyrazine, 2,5-dimethyl-",-0.495696802,-0.495696802,-0.495696802,-0.495696802,-0.495696802,-0.495696802,-0.495696802,-0.495696802,-0.495696802,2.105222332,2.264057088,1.579082202,-0.495696802,-0.495696802,-0.495696802
2-Heptanol,2.336478685,2.127698818,0.165168072,-0.683870052,-0.683870052,-0.683870052,-0.683870052,-0.683870052,-0.683870052,-0.683870052,-0.683870052,-0.683870052,0.485297201,0.540971832,0.499215859
"5-Hepten-2-one, 6-methyl-",-0.44324623,-0.498408321,3.324391035,0.034603689,-0.868592473,-0.852641989,-0.445904644,-0.491097683,-0.400711606,0.639392878,0.639392878,0.453303897,-0.366152224,-0.382102708,-0.342226498
1-Hexanol,-0.307344762,-0.307344762,-0.307344762,-0.307344762,-0.307344762,-0.307344762,-0.307344762,-0.307344762,-0.307344762,-0.038617153,0.00318492,3.723569381,-0.307344762,-0.307344762,-0.307344762
"3-Hexen-1-ol, (Z)-",-0.2833246,-0.220391,-0.62637442,-0.828749135,-0.828749135,-0.828749135,-0.828749135,-0.828749135,-0.828749135,1.849013853,1.824334009,1.867523735,0.078235103,0.232484123,0.250994005
Nonanal,1.578944173,2.192462383,-0.639160125,0.823844838,0.387303034,0.658666858,0.238642853,0.493488878,0.066385817,-0.783100936,-0.886927095,-0.882207724,-1.219642739,-1.030867905,-0.99783231
2-Ethyl-3-Methylpyrazine,-0.499559968,-0.499559968,-0.499559968,-0.499559968,-0.499559968,-0.499559968,-0.499559968,-0.499559968,-0.499559968,1.876847622,2.012642341,2.10522965,-0.499559968,-0.499559968,-0.499559968
Cyclohexanol,1.065522901,1.035326711,1.642270136,-0.809660516,-0.809660516,-0.809660516,-0.809660516,-0.809660516,-0.809660516,1.216503853,1.10175833,1.22556271,-0.809660516,-0.809660516,-0.809660516
"2-Hexen-1-ol, (E)-",-0.499797302,-0.499797302,-0.499797302,-0.499797302,-0.499797302,-0.499797302,-0.499797302,-0.499797302,-0.499797302,1.909234468,2.040875548,2.047457602,-0.499797302,-0.499797302,-0.499797302
Linalool oxide,-0.499833271,-0.499833271,-0.499833271,-0.499833271,-0.499833271,-0.499833271,-0.499833271,-0.499833271,-0.499833271,-0.499833271,-0.499833271,-0.499833271,1.963294948,1.953893696,2.080810608
"2,3-Dimethyl-5-ethylpyrazine",-0.498435559,-0.498435559,-0.498435559,-0.498435559,-0.498435559,-0.498435559,-0.498435559,-0.498435559,-0.498435559,1.746736449,2.084065249,2.150425013,-0.498435559,-0.498435559,-0.498435559
1-Octen-3-ol,2.472109222,2.18421469,-0.520348803,0.103148498,-0.221761046,-0.281807619,-0.760535099,-0.760535099,-0.760535099,-0.760535099,-0.760535099,-0.760535099,0.218306311,0.259434102,0.34991524
Furfural,-0.498558648,-0.498558648,-0.498558648,-0.498558648,-0.498558648,-0.498558648,-0.498558648,-0.498558648,-0.498558648,2.108258257,2.120053808,1.754391709,-0.498558648,-0.498558648,-0.498558648
Menthofuran,-0.498310274,-0.498310274,-0.498310274,-0.498310274,-0.498310274,-0.498310274,-0.498310274,-0.498310274,-0.498310274,1.817826942,2.246865385,1.915030965,-0.498310274,-0.498310274,-0.498310274
"1-Hexanol, 2-ethyl-",-0.481436261,-0.481436261,-0.481436261,1.085306745,2.475661465,2.216266928,-0.481436261,-0.481436261,-0.481436261,-0.481436261,-0.481436261,-0.481436261,-0.481436261,-0.481436261,-0.481436261
Decanal,-0.005151611,-0.074146397,-2.508282465,-0.971078622,0.036245261,-0.184538056,-0.681300518,0.174234834,-1.247057768,1.029770187,0.422616066,0.795187913,0.588203553,1.236754546,1.388543077
Benzaldehyde,0.184724859,0.385634071,2.009650201,-1.353904857,-1.137927454,-1.01905617,-0.824843932,-0.978874327,-1.086025907,0.569800849,0.15123999,0.050785384,0.553058414,1.139043616,1.356695262
"2-(3-Methylbutyl)-3,5-dimethylpyrazine",-0.49965633,-0.49965633,-0.49965633,-0.49965633,-0.49965633,-0.49965633,-0.49965633,-0.49965633,-0.49965633,2.009267629,2.094406088,1.892202248,-0.49965633,-0.49965633,-0.49965633
Linalool,-0.313883383,-0.307942123,-0.235458747,-0.599856045,-0.599856045,-0.599856045,-0.599856045,-0.599856045,-0.599856045,-0.434689009,-0.531729594,-0.528957006,1.836060677,2.057867729,2.057867729
"3,5-Octadien-2-one",0.341884584,0.347659662,-0.276048701,-0.655278786,-0.655278786,-0.655278786,-0.655278786,-0.655278786,-0.655278786,-0.655278786,-0.655278786,-0.655278786,1.154245477,1.924255801,2.405512254
5-methyl furfural,-0.498772646,-0.498772646,-0.498772646,-0.498772646,-0.498772646,-0.498772646,-0.498772646,-0.498772646,-0.498772646,2.030428727,1.788110033,2.166732993,-0.498772646,-0.498772646,-0.498772646
Hotrienol,-0.496249199,-0.496249199,-0.496249199,-0.496249199,-0.496249199,-0.496249199,-0.496249199,-0.496249199,-0.496249199,1.652055993,1.981276789,2.321657612,-0.496249199,-0.496249199,-0.496249199
beta-Cyclocitral,0.572472752,0.536121979,-1.179634528,-0.450541872,-0.357068455,-0.310331746,-1.058119086,-1.244546624,-1.153150393,-0.040297429,-0.035104461,-0.268788005,1.304681189,1.798013114,1.886293564
"5H-5-Methyl-6,7-dihydrocyclopentapyrazine",-0.499334085,-0.499334085,-0.499334085,-0.499334085,-0.499334085,-0.499334085,-0.499334085,-0.499334085,-0.499334085,1.8381338,2.107841633,2.046033588,-0.499334085,-0.499334085,-0.499334085
2-Isoamyl-6-methylpyrazine,-0.496640762,-0.496640762,-0.496640762,-0.496640762,-0.496640762,-0.496640762,-0.496640762,-0.496640762,-0.496640762,1.83560841,1.773339621,2.350741115,-0.496640762,-0.496640762,-0.496640762
Benzeneacetaldehyde,-0.239424583,-0.212761613,-0.435397413,-0.570045412,-0.570045412,-0.570045412,-0.570045412,-0.570045412,-0.570045412,-0.510453674,-0.513119971,-0.544049016,1.423011599,2.202903474,2.249563671
Safranal,-0.56560699,-0.541294832,2.494650988,-0.746970101,-0.746970101,-0.746970101,-0.746970101,-0.746970101,-0.746970101,-0.176891909,-0.23837093,-0.193658915,1.385234115,1.365672609,0.95208647
Acetophenone,-0.307538087,-0.446562153,-0.023170678,0.182205784,1.793621101,2.251768593,0.537665045,0.972115253,0.458674098,-0.873113266,-0.791752591,-0.79333241,-0.98686023,-0.98686023,-0.98686023
"Pyrazine, 2,5-dimethyl-3-(3-methylbutyl)-",-0.49988419,-0.49988419,-0.49988419,-0.49988419,-0.49988419,-0.49988419,-0.49988419,-0.49988419,-0.49988419,1.965507884,2.067594513,1.965507884,-0.49988419,-0.49988419,-0.49988419
"Benzaldehyde, 2,5-dimethyl-",-0.117051594,-0.079406355,3.733303354,-0.294737117,-0.294737117,-0.294737117,-0.294737117,-0.294737117,-0.294737117,-0.294737117,-0.294737117,-0.294737117,-0.294737117,-0.294737117,-0.294737117
"Benzenemethanol, alpha-alpha-dimethyl-",-0.775381291,-0.775381291,-0.775381291,1.494302779,1.618514345,1.776601793,0.624821817,0.974872594,0.48931829,-0.775381291,-0.775381291,-0.775381291,-0.775381291,-0.775381291,-0.775381291
Methyl salicylate,0.620752622,0.78411919,2.393582417,-1.019568735,-1.049821803,-1.006559916,-0.828369344,-0.831394651,-0.978122032,0.112501076,-0.286839424,-0.392725162,0.315196633,0.877903701,1.289345428
"Benzoic acid, 2-hydroxy-, ethyl ester",-0.485651882,-0.485651882,-0.485651882,-0.485651882,-0.485651882,-0.485651882,-0.485651882,-0.485651882,-0.485651882,2.601706512,1.926839611,1.299276464,-0.485651882,-0.485651882,-0.485651882
Nerol,2.599614087,2.364922604,0.451965611,-0.451375192,-0.451375192,-0.451375192,-0.451375192,-0.451375192,-0.451375192,-0.451375192,-0.451375192,-0.451375192,-0.451375192,-0.451375192,-0.451375192
Phenethyl acetate,-0.496257057,-0.496257057,-0.496257057,-0.496257057,-0.496257057,-0.496257057,-0.496257057,-0.496257057,-0.496257057,-0.496257057,-0.496257057,-0.496257057,1.619723052,2.059135485,2.276226151
beta-Damascenone,-0.805038877,-0.805038877,-0.805038877,-0.805038877,-0.805038877,-0.805038877,1.13208592,1.308188175,0.880511271,0.893090004,1.459132964,1.572341556,-0.805038877,-0.805038877,-0.805038877
"1H-Pyrrole, 1-(2-furanylmethyl)-",-0.498226913,-0.498226913,-0.498226913,-0.498226913,-0.498226913,-0.498226913,-0.498226913,-0.498226913,-0.498226913,1.760344069,1.997234417,2.221144471,-0.498226913,-0.498226913,-0.498226913
"Dodecanoic acid, 1-methylethyl ester",-0.466133743,-0.466133743,-0.466133743,-0.466133743,-0.466133743,-0.466133743,2.050269498,2.749270399,0.794065023,-0.466133743,-0.466133743,-0.466133743,-0.466133743,-0.466133743,-0.466133743
alpha-Ionone,-0.778991892,-0.581134735,-1.926563401,-0.298481654,-0.001695918,0.671960591,-0.835522508,-0.49633881,-1.174706205,0.629562629,0.153763276,0.408151049,0.662538822,1.571739566,1.995719188
Geranylacetone,-0.682344626,-0.429926578,-2.364366708,0.273784343,0.472659169,1.505278455,0.518553359,1.252860407,-0.299893038,0.465010137,0.855110756,0.946899137,-1.263671039,-0.774133007,-0.475820768
Benzene methanol,-0.49397497,-0.49397497,-0.49397497,-0.49397497,-0.49397497,-0.49397497,-0.49397497,-0.49397497,-0.49397497,-0.49397497,-0.49397497,-0.49397497,1.50553018,2.093926227,2.328243237
Benzeneethanol,-0.573943128,-0.555590651,-0.101783949,-0.740783827,-0.779490869,-0.730773385,-0.568937907,-0.507206848,-0.751962154,0.180176832,-0.180199078,-0.350376591,1.269646598,2.003745675,2.387479283
"Benzeneacetaldehyde, ?-ethylidene-",1.381305981,1.561304155,2.53329429,-0.670673194,-0.670673194,-0.670673194,0.312116832,0.297716979,-0.049679496,-0.670673194,-0.670673194,-0.670673194,-0.670673194,-0.670673194,-0.670673194
trans-beta-Ionone,-0.50913762,-0.370762887,0.512393496,-0.708560029,-0.855074452,-0.604778979,-0.922226896,-0.905947515,-1.284443108,0.532742721,0.111513755,0.089129607,0.858330328,1.753696246,2.303125332
"Ethanone, 1-(1H-pyrrol-2-yl)-",-0.278359931,-0.274487097,3.632718124,-0.409552177,-0.409552177,-0.409552177,-0.409552177,-0.409552177,-0.409552177,0.118121432,0.181054981,0.30692208,-0.409552177,-0.409552177,-0.409552177
1-Dodecanol,-0.76055169,-0.654650336,0.240319937,0.406439709,-0.309951808,-0.183285482,1.305562976,1.949277094,-0.03170119,0.25277892,1.07714829,0.95255846,-1.414648294,-1.414648294,-1.414648294
"beta-ionone 5,6-epoxide",-0.804476427,-0.804476427,-0.804476427,-0.804476427,-0.804476427,-0.804476427,-0.804476427,-0.804476427,-0.804476427,1.233572651,1.280969141,1.148258969,0.702731961,1.252531247,1.622223871
6-Methyl-6-(5-methylfuran-2-yl)heptan-2-one,1.728026023,1.898208841,2.334495703,-0.496727547,-0.496727547,-0.496727547,-0.496727547,-0.496727547,-0.496727547,-0.496727547,-0.496727547,-0.496727547,-0.496727547,-0.496727547,-0.496727547
Dehydro-beta-ionone,-0.794045694,-0.794045694,-0.794045694,-0.794045694,-0.794045694,-0.794045694,-0.794045694,-0.794045694,-0.794045694,1.024306117,0.937717936,0.860750663,0.937717936,1.543835206,1.842083387
Gamma-nonalactone,-0.486198197,-0.486198197,-0.486198197,-0.486198197,-0.486198197,-0.486198197,-0.486198197,-0.486198197,-0.486198197,-0.486198197,-0.486198197,-0.486198197,1.316831702,1.923231892,2.594314769
Isopropyl myristate,-0.788720314,-0.756804075,-0.127820643,0.121281706,-0.244587369,-0.034407262,1.366793453,2.705718581,0.097928361,0.043437222,0.533857472,0.526073024,-1.147583386,-1.147583386,-1.147583386
Octanoic acid,-0.467920872,-0.467920872,-0.467920872,-0.467920872,-0.467920872,-0.467920872,-0.467920872,-0.467920872,-0.467920872,-0.467920872,-0.467920872,-0.467920872,1.790339628,2.874924431,0.949786406
5-Methyl-2-phenyl-2-hexenal,0.792819712,1.03387976,3.329689737,-0.429699101,-0.429699101,-0.429699101,-0.429699101,-0.429699101,-0.429699101,-0.429699101,-0.429699101,-0.429699101,-0.429699101,-0.429699101,-0.429699101
Triacetin,-0.681527032,-0.685499223,-0.60652829,-0.11095022,-0.435345789,-0.408864518,-0.696848339,2.068080072,-0.258488729,1.982961701,0.290051882,1.708691396,-0.72191097,-0.72191097,-0.72191097
p-Cresol,1.079717363,1.691234982,2.882748694,-0.471141753,-0.471141753,-0.471141753,-0.471141753,-0.471141753,-0.471141753,-0.471141753,-0.471141753,-0.471141753,-0.471141753,-0.471141753,-0.471141753
"2,6-Di-tert-butyl-4-hydroxy-4-methylcyclohexa-2,5-dien-1-one",-0.736212803,-0.684017275,-0.341676019,-0.988747048,-0.988747048,-0.988747048,0.884151304,0.868799678,-0.339373275,1.260266137,1.82060048,1.866655358,-0.631821747,-0.525127948,-0.476002745
Hexahydrofarnesyl acetone,-0.975539049,-0.910622641,0.010262975,0.242107289,-0.203033794,0.158643336,0.891271369,1.188032091,0.251381062,0.687248372,1.262222271,1.651720719,-1.417898,-1.417898,-1.417898
"1,8(2H,5H)-Naphthalenedione, hexahydro-8a-methyl-, cis-",-0.947040261,-0.889397618,-0.064446364,0.266290107,-0.253438633,0.020600157,0.918313436,1.220701066,0.285189334,0.76711962,1.296297974,1.598685604,-1.406291474,-1.406291474,-1.406291474
