Compound,C-MA1,C-MA2,C-MA3,C-MEC1,C-MEC2,C-MEC3,C-MT51,C-MT52,C-MT53,C-NGE1,C-NGE2,C-NGE3,C-WI1,C-WI2,C-WI3
group,C-MA,C-MA,C-MA,C-MEC,C-MEC,C-MEC,C-MT5,C-MT5,C-MT5,C-NGE,C-NGE,C-NGE,C-WI,C-WI,C-WI
2-methyl-propanal,5450000,8160000,6720000,0,0,0,0,0,0,19800000,18700000,17500000,0,0,0
2-methyl-butanal,85500000,87200000,85300000,0,0,0,20900000,19300000,22500000,159000000,153000000,152000000,19000000,18400000,17900000
2-ethyl-furan,3950000,6810000,7690000,0,0,0,0,0,0,12000000,15500000,14400000,2250000,1500000,1070000
3-Pentanone,0,0,0,0,0,0,0,0,0,0,0,0,12700000,17300000,15900000
Pentanal,0,0,0,0,0,0,0,0,0,31500000,36100000,27800000,0,0,0
alpha-Pinene,0,0,0,0,0,0,0,0,0,7710000,8210000,6820000,5940000,7690000,6490000
"Disulfide, dimethyl",0,0,0,0,0,0,0,0,0,1180000,1140000,1220000,0,0,0
Hexanal,8050000,8890000,9430000,6560000,6530000,7050000,0,0,0,2750000,2650000,2720000,9860000,8520000,7840000
Ethylbenzene,0,0,0,0,0,0,2590000,1860000,2630000,9090000,7090000,9630000,0,0,0
1-Penten-3-ol,0,0,0,0,0,0,0,0,0,2080000,2050000,2530000,0,0,0
D-Limonene,0,0,0,0,0,0,0,0,0,2340000,3100000,2160000,4600000,9690000,6600000
Pyridine,0,0,0,0,0,0,0,0,0,1730000,2260000,2160000,0,0,0
"Oxazole, trimethyl-",0,0,0,0,0,0,0,0,0,1120000,1290000,1400000,0,0,0
Eucalyptol,0,0,0,0,0,0,0,0,0,0,0,0,1920000,972000,1670000
"2-Hexenal, (E)-",9960000,11200000,11600000,0,0,0,0,0,0,0,0,0,19500000,15300000,15400000
"Furan, 2-pentyl-",0,0,0,0,0,0,0,0,0,0,0,0,1380000,66800,1360000
"1,3,5,7-Cyclooctatetraene",0,0,0,30400000,31800000,42000000,8250000,10100000,11500000,0,0,0,0,0,0
"1H-Pyrrole, 1-butyl-",0,0,0,0,0,0,0,0,0,3650000,4620000,4540000,0,0,0
o-Cymene,0,0,0,0,0,0,0,0,0,0,0,0,1130000,1180000,1150000
Octanal,831000,1010000,1060000,0,0,0,1220000,1110000,1380000,857000,1490000,1110000,1020000,565000,759000
"Cyclohexanone, 2,2,6-trimethyl-",1170000,2080000,2150000,0,0,0,0,0,0,1830000,2010000,2320000,2930000,2940000,2460000
"Pyrazine, 2,5-dimethyl-",0,0,0,0,0,0,0,0,0,1060000,1600000,1580000,0,0,0
"5-Hepten-2-one, 6-methyl-",0,0,0,2660000,2440000,2740000,3910000,3390000,2990000,17800000,18000000,21700000,1760000,1670000,1740000
"3-Hexen-1-ol, (Z)-",0,0,0,0,0,0,0,0,0,26400000,31600000,31300000,0,0,0
Nonanal,31100000,30200000,37000000,18700000,17700000,24500000,32200000,28500000,34300000,25800000,32100000,30900000,18300000,11600000,13500000
"2-Octen-1-ol, 3,7-dimethyl-",0,0,0,0,0,0,0,0,0,4870000,4910000,5120000,0,0,0
2-Ethyl-3-Methylpyrazine,0,0,0,0,0,0,0,0,0,6640000,6640000,8190000,0,0,0
Cyclohexanol,0,0,0,0,0,0,0,0,0,3070000,3820000,3640000,0,0,0
"2-Hexen-1-ol, (E)-",5510000,6870000,6510000,0,0,0,0,0,0,0,0,0,0,0,0
1-Octen-3-ol,1630000,1910000,1980000,0,0,0,0,0,0,0,0,0,695000,628000,705000
Furfural,0,0,0,0,0,0,0,0,0,2000000,1890000,2350000,0,0,0
Decanal,1830000,1570000,1900000,2300000,2880000,2860000,2740000,2430000,2770000,2580000,3840000,3270000,2860000,1340000,1730000
"Ethanone, 1-(2-furanyl)-",0,0,0,0,0,0,0,0,0,7890000,4490000,6180000,0,0,0
Benzaldehyde,14200000,20900000,21500000,7240000,6960000,7930000,20200000,13800000,17000000,43200000,43300000,49500000,45800000,44500000,45600000
Linalool,2790000,2940000,2980000,0,0,0,0,0,0,5250000,2420000,1740000,56600000,57700000,57700000
"3,5-Octadien-2-one",0,0,0,0,0,0,0,0,0,0,0,0,666000,1080000,792000
5-methyl furfural,0,0,0,0,0,0,0,0,0,3220000,3040000,4350000,0,0,0
beta-Cyclocitral,2760000,3700000,4260000,2120000,1720000,2020000,0,0,0,9410000,8060000,8580000,9380000,9470000,10500000
Benzeneacetaldehyde,0,0,0,0,0,0,0,0,0,1270000,195000,759000,4180000,3260000,3260000
Safranal,0,0,0,0,0,0,0,0,0,3880000,2910000,4610000,6860000,6700000,6990000
Acetophenone,2810000,3760000,5860000,60400000,51400000,63200000,47400000,49300000,58000000,9640000,10900000,14900000,6280000,6720000,5480000
"Benzenemethanol, alpha-alpha-dimethyl-",0,0,0,1590000,1130000,1430000,0,0,0,0,0,0,0,0,0
Methyl salicylate,66500000,87000000,99100000,19200000,10800000,15900000,30800000,19700000,26900000,76600000,74400000,89700000,157000000,163000000,149000000
"Benzoic acid, 2-ethoxy-",0,0,0,0,0,0,0,0,0,1030000,1160000,1320000,0,0,0
beta-Damascenone,0,0,0,0,0,0,0,0,0,1070000,1030000,1430000,0,0,0
"1H-Pyrrole, 1-(2-furanylmethyl)-",0,0,0,0,0,0,0,0,0,1090000,1450000,1400000,0,0,0
alpha-Ionone,1960000,2760000,3550000,3910000,3200000,4130000,3060000,2020000,3020000,6600000,6330000,7800000,8120000,8710000,8360000
Geranylacetone,1330000,1660000,2030000,3470000,2340000,3130000,4120000,2570000,3550000,4410000,4800000,7300000,2680000,2960000,2720000
Benzene methanol,0,0,0,0,0,0,0,0,0,0,0,0,7520000,5380000,5050000
Benzeneethanol,0,0,0,0,0,0,0,0,0,5430000,5220000,5810000,14100000,12500000,13300000
"Benzeneacetaldehyde, ?-ethylidene-",0,0,0,0,0,0,0,0,0,1400000,1120000,1920000,0,0,0
trans-beta-Ionone,2540000,3380000,4350000,2940000,1940000,2550000,2870000,1640000,2030000,8460000,7620000,10400000,11000000,13700000,12400000
"Ethanone, 1-(1H-pyrrol-2-yl)-",0,0,0,0,0,0,0,0,0,1400000,1900000,2430000,0,0,0
1-Dodecanol,0,0,0,0,0,0,0,0,0,2850000,4310000,4300000,4060000,2520000,1030000
"beta-ionone 5,6-epoxide",0,0,0,0,0,0,0,0,0,230000,217000,130000,0,0,0
Dehydro-beta-ionone,0,0,0,0,0,0,0,0,0,681000,542000,970000,0,0,0
Isopropyl myristate,0,0,0,0,0,0,0,0,0,996000,1100000,1530000,0,0,0
Triacetin,0,0,0,0,0,0,530000,190000,528000,1680000,5710000,2290000,15100000,1870000,788000
Hexahydrofarnesyl acetone,0,0,0,0,0,0,0,0,0,617000,506000,814000,0,0,0
Methyl palmitate,0,0,0,0,0,0,0,0,0,0,0,0,1920000,567000,546000
"2,4-Di-tert-butylphenol",0,0,0,2620000,1700000,2520000,2600000,1620000,2420000,2930000,1710000,4050000,0,0,0
Methyl stearate,0,0,0,0,0,0,0,0,0,0,0,0,1810000,743000,994000
