Compound,H-MA1,H-MA2,H-MA3,H-MEC1,H-MEC2,H-MEC3,H-MT51,H-MT52,H-MT53,H-NGE1,H-NGE2,H-NGE3,H-WI1,H-WI2,H-WI3
group,H-MA,H-MA,H-MA,H-MEC,H-MEC,H-MEC,H-MT5,H-MT5,H-MT5,H-NGE,H-NGE,H-NGE,H-WI,H-WI,H-WI
2-methyl-butanal,38500000,37900000,29400000,0,0,0,0,0,0,84300000,81000000,73700000,0,0,0
Pentanal,0,0,0,0,0,0,0,0,0,15500000,16000000,12900000,165000000,179000000,153000000
"2,3-Pentanedione",0,0,0,0,0,0,0,0,0,1890000,1720000,1760000,0,0,0
Hexanal,15700000,15300000,11000000,0,0,0,5150000,5850000,5290000,7010000,6780000,6510000,21400000,23100000,22000000
Ethylbenzene,0,0,0,6010000,7800000,8180000,5560000,6450000,5040000,4500000,4690000,3930000,0,0,0
"3-Penten-2-one, 4-methyl-",4500000,2720000,2010000,0,0,0,0,0,0,0,0,0,0,0,0
1-Penten-3-ol,4170000,3270000,20400000,0,0,0,0,0,0,0,0,0,0,0,0
"Oxazole, trimethyl-",0,0,0,0,0,0,0,0,0,3700000,3640000,4590000,0,0,0
"2-Hexenal, (E)-",36300000,34500000,8250000,0,0,0,0,0,0,0,0,0,42000000,47400000,47200000
"1,3,5,7-Cyclooctatetraene",0,0,0,0,0,0,0,0,0,4810000,5160000,5470000,0,0,0
"1H-Pyrrole, 1-butyl-",0,0,0,0,0,0,0,0,0,8200000,6790000,6670000,0,0,0
Octanal,0,0,0,4270000,3300000,3120000,0,0,0,4450000,4410000,5150000,0,0,0
"Cyclohexanone, 2,2,6-trimethyl-",7570000,6480000,532000,0,0,0,0,0,0,3790000,4790000,4120000,9090000,10300000,10100000
"2-Heptenal, (Z)-",0,0,0,7460000,2230000,2600000,0,0,0,0,0,0,0,0,0
"Pyrazine, 2,5-dimethyl-",0,0,0,0,0,0,0,0,0,26200000,27800000,20900000,0,0,0
2-Heptanol,43400000,40400000,12200000,0,0,0,0,0,0,0,0,0,16800000,17600000,17000000
"5-Hepten-2-one, 6-methyl-",7910000,7080000,64600000,15100000,1510000,1750000,7870000,7190000,8550000,24200000,24200000,21400000,9070000,8830000,9430000
1-Hexanol,0,0,0,0,0,0,0,0,0,45000000,52000000,675000000,0,0,0
"3-Hexen-1-ol, (Z)-",8840000,9860000,3280000,0,0,0,0,0,0,43400000,43000000,43700000,14700000,17200000,17500000
Nonanal,149000000,175000000,55000000,117000000,98500000,110000000,92200000,103000000,84900000,48900000,44500000,44700000,30400000,38400000,39800000
2-Ethyl-3-Methylpyrazine,0,0,0,0,0,0,0,0,0,38500000,40700000,42200000,0,0,0
Cyclohexanol,62100000,61100000,81200000,0,0,0,0,0,0,67100000,63300000,67400000,0,0,0
"2-Hexen-1-ol, (E)-",0,0,0,0,0,0,0,0,0,36600000,38600000,38700000,0,0,0
Linalool oxide,0,0,0,0,0,0,0,0,0,0,0,0,52400000,52200000,54900000
"2,3-Dimethyl-5-ethylpyrazine",0,0,0,0,0,0,0,0,0,40600000,46700000,47900000,0,0,0
1-Octen-3-ol,39300000,35800000,2920000,10500000,6550000,5820000,0,0,0,0,0,0,11900000,12400000,13500000
Furfural,0,0,0,0,0,0,0,0,0,4420000,4440000,3820000,0,0,0
Menthofuran,0,0,0,0,0,0,0,0,0,6910000,8190000,7200000,0,0,0
"1-Hexanol, 2-ethyl-",0,0,0,9060000,17100000,15600000,0,0,0,0,0,0,0,0,0
Decanal,19800000,19300000,1660000,12800000,20100000,18500000,14900000,21100000,10800000,27300000,22900000,25600000,24100000,28800000,29900000
Benzaldehyde,116000000,128000000,225000000,24100000,37000000,44100000,55700000,46500000,40100000,139000000,114000000,108000000,138000000,173000000,186000000
"2-(3-Methylbutyl)-3,5-dimethylpyrazine",0,0,0,0,0,0,0,0,0,9430000,9750000,8990000,0,0,0
Linalool,72200000,73700000,92000000,0,0,0,0,0,0,41700000,17200000,17900000,615000000,671000000,671000000
"3,5-Octadien-2-one",5180000,5210000,1970000,0,0,0,0,0,0,0,0,0,9400000,13400000,15900000
5-methyl furfural,0,0,0,0,0,0,0,0,0,16700000,15100000,17600000,0,0,0
Hotrienol,0,0,0,0,0,0,0,0,0,3850000,4440000,5050000,0,0,0
