Compound,H-MA1,H-MA2,H-MA3,H-MEC1,H-MEC2,H-MEC3,H-MT51,H-MT52,H-MT53,H-NGE1,H-NGE2,H-NGE3,H-WI1,H-WI2,H-WI3,C-MA1,C-MA2,C-MA3,C-MEC1,C-MEC2,C-MEC3,C-MT51,C-MT52,C-MT53,C-NGE1,C-NGE2,C-NGE3,C-WI1,C-WI2,C-WI3
group,H-MA,H-MA,H-MA,H-MEC,H-MEC,H-MEC,H-MT5,H-MT5,H-MT5,H-NGE,H-NGE,H-NGE,H-WI,H-WI,H-WI,C-MA,C-MA,C-MA,C-MEC,C-MEC,C-MEC,C-MT5,C-MT5,C-MT5,C-NGE,C-NGE,C-NGE,C-WI,C-WI,C-WI
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5450000,8160000,6720000,0,0,0,0,0,0,19800000,18700000,17500000,0,0,0
2,38500000,37900000,29400000,0,0,0,0,0,0,84300000,81000000,73700000,0,0,0,85500000,87200000,85300000,0,0,0,20900000,19300000,22500000,159000000,153000000,152000000,19000000,18400000,17900000
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3950000,6810000,7690000,0,0,0,0,0,0,12000000,15500000,14400000,2250000,1500000,1070000
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12700000,17300000,15900000
5,0,0,0,0,0,0,0,0,0,15500000,16000000,12900000,165000000,179000000,153000000,0,0,0,0,0,0,0,0,0,31500000,36100000,27800000,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7710000,8210000,6820000,5940000,7690000,6490000
7,0,0,0,0,0,0,0,0,0,1890000,1720000,1760000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1180000,1140000,1220000,0,0,0
9,15700000,15300000,11000000,0,0,0,5150000,5850000,5290000,7010000,6780000,6510000,21400000,23100000,22000000,8050000,8890000,9430000,6560000,6530000,7050000,0,0,0,2750000,2650000,2720000,9860000,8520000,7840000
10,0,0,0,6010000,7800000,8180000,5560000,6450000,5040000,4500000,4690000,3930000,0,0,0,0,0,0,0,0,0,2590000,1860000,2630000,9090000,7090000,9630000,0,0,0
11,4500000,2720000,2010000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,4170000,3270000,20400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2080000,2050000,2530000,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2340000,3100000,2160000,4600000,9690000,6600000
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1730000,2260000,2160000,0,0,0
15,0,0,0,0,0,0,0,0,0,3700000,3640000,4590000,0,0,0,0,0,0,0,0,0,0,0,0,1120000,1290000,1400000,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1920000,972000,1670000
17,36300000,34500000,8250000,0,0,0,0,0,0,0,0,0,42000000,47400000,47200000,9960000,11200000,11600000,0,0,0,0,0,0,0,0,0,19500000,15300000,15400000
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380000,66800,1360000
19,0,0,0,0,0,0,0,0,0,4810000,5160000,5470000,0,0,0,0,0,0,30400000,31800000,42000000,8250000,10100000,11500000,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,8200000,6790000,6670000,0,0,0,0,0,0,0,0,0,0,0,0,3650000,4620000,4540000,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130000,1180000,1150000
22,0,0,0,4270000,3300000,3120000,0,0,0,4450000,4410000,5150000,0,0,0,831000,1010000,1060000,0,0,0,1220000,1110000,1380000,857000,1490000,1110000,1020000,565000,759000
23,7570000,6480000,532000,0,0,0,0,0,0,3790000,4790000,4120000,9090000,10300000,10100000,1170000,2080000,2150000,0,0,0,0,0,0,1830000,2010000,2320000,2930000,2940000,2460000
24,0,0,0,7460000,2230000,2600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,26200000,27800000,20900000,0,0,0,0,0,0,0,0,0,0,0,0,1060000,1600000,1580000,0,0,0
26,43400000,40400000,12200000,0,0,0,0,0,0,0,0,0,16800000,17600000,17000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,7910000,7080000,64600000,15100000,1510000,1750000,7870000,7190000,8550000,24200000,24200000,21400000,9070000,8830000,9430000,0,0,0,2660000,2440000,2740000,3910000,3390000,2990000,17800000,18000000,21700000,1760000,1670000,1740000
28,0,0,0,0,0,0,0,0,0,45000000,52000000,675000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,8840000,9860000,3280000,0,0,0,0,0,0,43400000,43000000,43700000,14700000,17200000,17500000,0,0,0,0,0,0,0,0,0,26400000,31600000,31300000,0,0,0
30,149000000,175000000,55000000,117000000,98500000,110000000,92200000,103000000,84900000,48900000,44500000,44700000,30400000,38400000,39800000,31100000,30200000,37000000,18700000,17700000,24500000,32200000,28500000,34300000,25800000,32100000,30900000,18300000,11600000,13500000
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4870000,4910000,5120000,0,0,0
32,0,0,0,0,0,0,0,0,0,38500000,40700000,42200000,0,0,0,0,0,0,0,0,0,0,0,0,6640000,6640000,8190000,0,0,0
33,62100000,61100000,81200000,0,0,0,0,0,0,67100000,63300000,67400000,0,0,0,0,0,0,0,0,0,0,0,0,3070000,3820000,3640000,0,0,0
34,0,0,0,0,0,0,0,0,0,36600000,38600000,38700000,0,0,0,5510000,6870000,6510000,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,52400000,52200000,54900000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,40600000,46700000,47900000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,39300000,35800000,2920000,10500000,6550000,5820000,0,0,0,0,0,0,11900000,12400000,13500000,1630000,1910000,1980000,0,0,0,0,0,0,0,0,0,695000,628000,705000
38,0,0,0,0,0,0,0,0,0,4420000,4440000,3820000,0,0,0,0,0,0,0,0,0,0,0,0,2000000,1890000,2350000,0,0,0
39,0,0,0,0,0,0,0,0,0,6910000,8190000,7200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,9060000,17100000,15600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,19800000,19300000,1660000,12800000,20100000,18500000,14900000,21100000,10800000,27300000,22900000,25600000,24100000,28800000,29900000,1830000,1570000,1900000,2300000,2880000,2860000,2740000,2430000,2770000,2580000,3840000,3270000,2860000,1340000,1730000
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7890000,4490000,6180000,0,0,0
43,116000000,128000000,225000000,24100000,37000000,44100000,55700000,46500000,40100000,139000000,114000000,108000000,138000000,173000000,186000000,14200000,20900000,21500000,7240000,6960000,7930000,20200000,13800000,17000000,43200000,43300000,49500000,45800000,44500000,45600000
44,0,0,0,0,0,0,0,0,0,9430000,9750000,8990000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,72200000,73700000,92000000,0,0,0,0,0,0,41700000,17200000,17900000,615000000,671000000,671000000,2790000,2940000,2980000,0,0,0,0,0,0,5250000,2420000,1740000,56600000,57700000,57700000
46,5180000,5210000,1970000,0,0,0,0,0,0,0,0,0,9400000,13400000,15900000,0,0,0,0,0,0,0,0,0,0,0,0,666000,1080000,792000
47,0,0,0,0,0,0,0,0,0,16700000,15100000,17600000,0,0,0,0,0,0,0,0,0,0,0,0,3220000,3040000,4350000,0,0,0
48,0,0,0,0,0,0,0,0,0,3850000,4440000,5050000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,42100000,41400000,8360000,22400000,24200000,25100000,10700000,7110000,8870000,30300000,30400000,25900000,56200000,65700000,67400000,2760000,3700000,4260000,2120000,1720000,2020000,0,0,0,9410000,8060000,8580000,9380000,9470000,10500000
50,0,0,0,0,0,0,0,0,0,4160000,4640000,4530000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,4120000,4010000,5030000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,4960000,5360000,2020000,0,0,0,0,0,0,894000,854000,390000,29900000,41600000,42300000,0,0,0,0,0,0,0,0,0,1270000,195000,759000,4180000,3260000,3260000
53,6490000,7360000,116000000,0,0,0,0,0,0,20400000,18200000,19800000,76300000,75600000,60800000,0,0,0,0,0,0,0,0,0,3880000,2910000,4610000,6860000,6700000,6990000
54,86000000,68400000,122000000,148000000,352000000,410000000,193000000,248000000,183000000,14400000,24700000,24500000,0,0,0,2810000,3760000,5860000,60400000,51400000,63200000,47400000,49300000,58000000,9640000,10900000,14900000,6280000,6720000,5480000
