,C-MA,C-M-EC,C-M-T5,C-N-GE-WS,C-WI,H-MA,H-M-EC,H-M-T5,H-N-GE-WS,H-WI
O. herbaceous,0,0,2,1,1,1,4,1,3,4
O.vegetable,3,4,0,0,0,4,1,3,0,2
O. woody,0,0,0,0,0,0,0,0,0,1
O. cereal,0,0,0,0,2,0,0,0,4,0
O. floral,0,0,2,2,0,0,1,2,0,0
O. fruity,0,0,0,0,0,0,1,0,0,0
Sour,1,0,1,0,1,0,0,0,0,1
Sweet,1,2,2,1,1,2,1,1,1,1
Salty,2,0,1,0,0,2,1,0,0,0
Bitter,1,0,0,2,1,1,0,1,2,3
Astringent,1,3,2,1,4,1,2,2,3,5
Body,2,1,2,2,1,1,2,1,3,3
A. herbaceous,1,0,2,1,0,1,2,1,2,5
A.vegetable,4,4,0,0,0,5,1,3,0,1
A. woody,0,0,0,0,0,1,0,0,0,2
A. cereal,0,0,0,0,4,0,0,0,4,0
A. floral,0,0,2,3,0,0,1,1,0,1
A. fruity,0,2,0,0,0,0,2,0,0,0
